"","mean_f","var_f","diff.range","trend","max.jump","corr.decay","above_mean","duration","label","CallClass"
"94",48666.2331231002,88295.6751545858,1035.59278757849,6.87249031225586,-500,-0.000705030980224512,32,-4.40631932724293,"flat","1"
"95",43474.338308769,2852247.45811513,6874.85215424581,-113.717641892292,-1000,-0.0023863289685677,23,-2.2896688677275,"flat","1"
"96",47338.0726575526,175137.402733484,1738.97505129207,18.9752893537552,-641.152231921777,-0.00112588951256762,14,-3.75075485783202,"flat","1"
"97",48058.3012948441,438934.099223679,3556.62350519829,18.1462086853839,-1528.31175259915,-0.000689229767761945,26,-3.17246945205404,"flat","1"
"98",48926.3775510204,57206.502498959,1000,-7.85714285714304,1000,-0.000817300625908937,14,-3.32980738557548,"flat","1"
"99",47952.5782039256,99223.3437161048,1000.00590965315,19.3785847265351,500,-0.00205708751477648,20,-4.68855179492714,"short","2"
"100",49034,1354942.85714286,3900,78.3145258103236,500,-0.00241005249953063,23,-3.9954046143672,"flat","1"
"101",41303.8088551683,264229.014546941,3348.43425124267,-10.9238819462317,1293.20877058215,-0.00049859203513718,26,-2.58097711853873,"flat","1"
"102",46231.4829826208,1342020.76246666,3742.74088914154,77.7938178656548,900,-0.00237999773771528,28,-3.72970144863419,"flat","1"
"103",59769.3019304943,3802386.29779342,8221.47138115317,109.059486584217,-2000,-0.00165819594892285,16,-5.09946650780287,"short","2"
"105",44344.675076941,764969.754260897,5298.69727119245,-17.4824354007169,3174.26077699239,-0.000498948584943046,24,-2.95267278409354,"flat","1"
"107",41559.8781454409,4806427.76325838,7175.08371107755,-125.250567338887,1336.19584562823,-0.00199026443017416,20,-2.13961626471591,"flat","1"
"108",42096.6638243522,2599200.01962922,4900,-86.8558766068253,-500,-0.0017633611489467,15,-2.20727491318972,"flat","1"
"111",40555.0376665751,719188.016922453,3752.34198630232,-43.4382803230545,2395.54306270333,-0.00153660180226281,17,-2.33614187652289,"flat","1"
"113",41098.1165547204,1485815.42911871,4400,-75.2092789011526,-1000,-0.00208386084256027,14,-2.20727491318972,"flat harmx","1"
"114",40341.6607593631,2077048.86427674,4431.77846475916,-67.5652066797926,-1000,-0.00149133925295895,17,-2.1663074747015,"flat","1"
"115",38558.0505388502,2020750.70638891,4638.42490995767,-68.0887337075407,-524.825844489038,-0.0014742076814462,16,-1.97544195166135,"flat harmx","1"
"116",41729.8647305474,2817502.37929601,7778.86963151179,74.1462119599177,3000,-0.00119389838496413,15,-2.88598140959487,"flat-mz","1"
"117",40494.2790033183,494972.824808719,2400,-12.2744990093675,-500,-0.000770600630360586,30,-2.78223509929159,"flat harmx","1"
"118",38348.1033657576,55115.8991443963,595.390488907222,-11.3894628322519,-500,-0.00140053857308658,35,-2.46628118566484,"flat  harmx","1"
"119",39258.8296856745,17458769.1577633,33541.0974762456,34.2549243771753,22378.3241121984,-0.000188078047629624,27,-2.40683511436785,"flat harmx","1"
"120",47235.062994501,368284.176402062,2000,-11.7614667118811,-1034.374355868,-0.000757603060818359,26,-3.12356564506388,"flat harmx","1"
"122",47987.341338596,24073739.8348534,21050.4989298332,-163.476355825119,-2272.20772680067,-0.000843579634035983,8,-2.72570513634093,"flat harmx","1"
"125",39380.1654293348,252311.191075987,1633.97026818949,-27.686566144609,1592.63786804231,-0.00176038144932306,21,-2.71810053695571,"flat","1"
"126",23515.9298528486,103054.105298611,1500.71513761444,-5.38665164034121,568.678390307894,-0.000516879292789381,15,-4.14774533894922,"flat","1"
"127",49901.3024874949,145258.319925758,1607.49143199364,2.10885021860232,-1607.49143199364,-0.000455740857693808,23,-4.21312809821207,"flat","1"
"128",81446.9370415085,84493278.4525619,34214.6136345071,107.142992297517,17100,-0.000596950816269917,18,-4.6356293934728,"4 B","3"
"134",76605.8906451334,166400.74921283,1675.12297772788,-12.6307330014076,1179.67441122695,-0.00062732766525562,23,-3.72970144863419,"4 B","3"
"142",45946.5285487562,109432.102421945,1279.53613338574,10.1322768683951,500,-0.000603277539729428,23,-2.79034544382904,"flat","1"
"143",43049.2173267022,1826504.49254663,4562.92712116014,-88.1066523113311,-610.838578289979,-0.0023366390867567,21,-2.46628118566484,"flat","1"
"145",41652.4560946817,4223847.41289204,6800,-127.599651376446,1776.55174934825,-0.00214577879102261,18,-2.07624665078332,"flat-z  harmx","1"
"146",44282.9958526358,537503.887054418,2400,37.9852855503246,500,-0.00173064785647618,23,-2.77419000360676,"flat","1"
"147",45094.152411892,337520.539771978,2298.36413938267,-35.9091815315915,500,-0.0020849437841054,23,-3.10109278921182,"flat","1"
"148",44989.6432743609,11433465.96133,15546.1610169878,24.7900006230438,3797.16139972456,-0.000433482981297185,17,-2.36872489549859,"flat","1"
"149",42542.3803799737,1792920.79379048,4800,-82.8022034796707,1689.14187803932,-0.00217611177853684,23,-2.07624665078332,"flat","1"
"150",42143.534657901,2150588.70318466,5723.26710495078,-57.9851182781555,-2000,-0.00101467254644652,15,-2.01290501787959,"flat-z  harmx","1"
"151",44620,266938.775510204,1500,-6.14645858343374,-1000,-0.000565723344539533,20,-2.47218787738023,"flat  harmx","1"
"152",47410,43775.5102040816,500,8.13925570228116,500,-0.000967256657972182,11,-4.14774533894922,"flat","1"
"153",43140.8828878782,819636.54613319,2925.50219732359,-46.7372090287301,510.839437685354,-0.00172708608563389,23,-2.31465767422831,"flat","1"
"154",41676.2862415722,5468911.09695168,7300,-154.524357398194,-500,-0.00232600424494379,20,-2.04022082852655,"flat","1"
"156",39627.6019354805,2048770.21982557,5658.9967445953,-77.0040277581949,-2810.95851931502,-0.00164146248308161,15,-2.18836394890402,"flat-z harmx","1"
"157",43532.1498191641,8074008.69805913,9300,-178.133634720191,-1000,-0.00217072705280789,21,-1.93933183369519,"flat","1"
"158",45007.0832169724,496509.946433023,2400,13.7580032879352,1258.47551911502,-0.000762795921190972,21,-2.62141389444266,"flat","1"
"159",44556.4870941333,2560661.25815339,4692.34303215079,-102.418277105837,-1000,-0.00225816259537654,21,-2.58097711853873,"flat","1"
"162",44414.5877378436,2284123.99075011,5400,-98.5200845665961,1062.79069767441,-0.00233053481737499,20,-2.34132592131048,"flat","1"
"163",41816.5902212484,3491861.14270581,7300,-117.677889246413,1717.97938146086,-0.00216949315634584,19,-2.04407439784254,"flat","1"
"164",41237.568783242,1903556.49766435,5198.20763360995,-75.5219736165225,4698.20763360995,-0.00171812890183767,17,-1.89711998488588,"flat","1"
"165",40783.2554724278,2010641.79532558,6370.59851466228,-86.3650085421451,-1470.59851466228,-0.00202409004229391,18,-2.0971982632691,"flat","1"
"166",41156,900065.306122449,2900,-55.0108043217287,500,-0.00192731992047922,16,-2.4013010659332,"flat","1"
"167",40622.730164955,1209421.40895623,4417.46971259842,-58.381216302718,1027.27012378079,-0.00150789807427906,11,-2.0971982632691,"flat","1"
"168",41277.4573576826,1960157.26311245,4468.5304840896,-30.5726890481532,565.819556153954,-0.000850978724890349,21,-2.34132592131048,"flat","1"
"169",46093.8502155591,304918.249208909,2400,34.413361104196,900,-0.00207116764267836,20,-3.28876195233237,"flat","1"
"170",43671.6685100159,1916401.72923959,3900,-93.0034159322292,-500,-0.00242661655245538,27,-3.31593753771133,"flat","1"
"171",39277.9636801122,56855650.5598207,23804.6794000733,-467.9473391144,-912.857829770459,-0.00213918661273915,31,-2.65072513448294,"flat","1"
"172",40846,2428248.97959184,4900,-96.2737094837931,-500,-0.00207475987421781,19,-2.35177533718482,"flat","1"
"173",40829.6926679043,57142.99518909,500,0.420025755852294,-500,-0.000316499315179143,33,-2.93369688263454,"flat","1"
"174",42553.6180421994,5897442.68526622,7300,-150.856310690955,-900,-0.00215051237825422,19,-2.41239995900125,"flat","1"
"175",45286.0159209984,731028.199555254,3400,29.0449838945456,-500,-0.00105513702383166,27,-2.89679232569909,"flat","1"
"176",46549.1603184596,373585.699372561,2010.35711611907,39.0463925409156,1000,-0.00217227434909427,21,-3.55434856115633,"flat","1"
"177",41140.5007484049,5284527.6277383,7409.82895120078,-140.060223468329,-2000,-0.00205478093881144,16,-2.07226733793184,"flat-z","1"
"178",48531.1385103354,236274.928005087,2000,26.5604298214015,500,-0.00168030358096768,35,-3.18447439815087,"flat  harmx","1"
"179",46280.1308556688,231168.442407505,1961.32163021499,-26.8184775013604,-1571.68670716579,-0.00179787127565742,30,-3.2754461763566,"flat","1"
"180",51930.1797040169,86725.26378586,1000,17.2908486861979,500,-0.00193573081342831,26,-3.79423996977176,"flat","1"
"181",48650,73979.5918367347,1000,3.00120048019191,500,-0.000363817638672062,33,-3.18447439815087,"flat","1"
"182",49729.9462460089,171646.278241759,1400,26.160747326711,500,-0.00211802414898078,34,-4.05128507276165,"flat","1"
"183",45996.5379574206,1422218.13988651,3247.58670163542,-72.9027971670012,-500,-0.00214507543478408,18,-2.65783248494159,"flat","1"
"184",42945.8527181502,4655647.6327466,7300,-124.869634470422,1794.84123732449,-0.00190592531280963,16,-2.17068002211411,"flat-z","1"
"185",41850,2666632.65306122,5300,-74.8379351740695,-1000,-0.00137087470508952,13,-2.08425309867706,"flat","1"
"186",43426,6882779.59183673,7300,-160.917166866747,-1900,-0.00218194580344475,25,-2.45340798272863,"flat-z harmx","1"
"190",47766.1678330574,262571.113323637,3163.08307552587,3.39208293524534,-1000,-0.000219755770112433,33,-3.49991335460131,"flat","1"
"191",57626.5556935884,191895.917654729,1500,18.7889990418069,-609.727877035795,-0.0012838717515289,18,-3.77226106305299,"flat","1"
"192",57469.6004325192,104399.414707031,1000.00017701368,18.1301822063505,500,-0.0018106223058615,31,-4.44816643717843,"short","2"
"193",47632.0737493994,126859.783387353,1508.99950287154,-13.3237349497835,-500,-0.000950034218379091,27,-2.69562768110365,"flat","1"
"194",52520,130204.081632653,1000,15.1260504201679,500,-0.00112525166267861,25,-3.34387231504289,"flat","1"
"195",67261.1542709859,157711.863686544,1400,20.0637677750566,900,-0.00146104118273425,40,-5.27851473925186,"short","2"
"196",49618.1720823132,190286198.26295,42107.4988191182,450.381457422796,-39100,-0.000818921534043727,12,-2.06830379726938,"flat z harm","1"
"197",47684.1071428571,266856.550655977,2000,33.5204081632652,500,-0.00225519673390003,26,-2.99373427089132,"flat","1"
"198",49388.1712707182,297864.134401969,1908.56353591162,10.4683066596803,500,-0.000563824581089679,14,-2.84215318562569,"flat","1"
"199",52780,248571.428571429,1500,21.128451380552,-500,-0.00130965822980311,15,-3.35813789220171,"flat","1"
"200",53883.2464957265,94268.5807891639,900,14.8372292506758,500,-0.00147047855873591,31,-3.81671282562382,"flat","1"
"201",41884.2866155715,6624445.22984811,8169.88625468212,-139.762762542686,5821.59083645474,-0.00174505112475012,16,-2.10948846303213,"flat","1"
"204",45948.1286201653,278213.688453481,1462.21860448665,-30.9219299244996,500,-0.00193869585988608,18,-2.62970123469123,"flat","1"
"205",45864.7147806898,83985.4440340308,1165.90174263899,-10.2476088290874,-900,-0.00088442987791758,10,-3.25969781938846,"flat","1"
"206",43484.5573040429,4985425.77211773,6800,-73.3143022585256,2500,-0.00108945820109361,25,-2.52823177452637,"flat","1"
"207",43503.1686954632,2642816.20470968,3914.5959762736,-95.544882874966,-1500,-0.00208252272622884,25,-3.00376444525126,"flat-z","1"
"208",46316.9707311508,91203.3531754431,1021.29860418584,11.6476405378528,500,-0.00103594016639047,10,-3.49991335460131,"flat","1"
